model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.6588235294117648,roc_auc,0.01672506332397461,1.4759600162506104,0.0003600120544433594,0.015878915786743164,2,True,86
NeuralNetTorch_r14_BAG_L1,0.6431372549019608,roc_auc,0.014206886291503906,1.1396360397338867,0.014206886291503906,1.1396360397338867,1,True,31
LightGBM_r131_BAG_L1,0.6333333333333334,roc_auc,0.0021581649780273438,0.32044506072998047,0.0021581649780273438,0.32044506072998047,1,True,13
NeuralNetTorch_r158_BAG_L1,0.6313725490196078,roc_auc,0.015613079071044922,1.2115812301635742,0.015613079071044922,1.2115812301635742,1,True,40
NeuralNetTorch_r30_BAG_L1,0.6274509803921569,roc_auc,0.017569780349731445,1.3519213199615479,0.017569780349731445,1.3519213199615479,1,True,24
NeuralNetTorch_r22_BAG_L1,0.6196078431372549,roc_auc,0.014987468719482422,1.2324137687683105,0.014987468719482422,1.2324137687683105,1,True,16
NeuralNetTorch_r135_BAG_L1,0.6078431372549019,roc_auc,0.016588687896728516,1.2637357711791992,0.016588687896728516,1.2637357711791992,1,True,75
NeuralNetTorch_r197_BAG_L1,0.5843137254901961,roc_auc,0.014322757720947266,1.1137070655822754,0.014322757720947266,1.1137070655822754,1,True,42
LightGBM_r30_BAG_L1,0.584313725490196,roc_auc,0.0019941329956054688,0.2901639938354492,0.0019941329956054688,0.2901639938354492,1,True,53
NeuralNetTorch_r31_BAG_L1,0.5725490196078431,roc_auc,0.014460086822509766,1.1676599979400635,0.014460086822509766,1.1676599979400635,1,True,51
XGBoost_BAG_L1,0.5627450980392158,roc_auc,0.006134033203125,0.6378140449523926,0.006134033203125,0.6378140449523926,1,True,8
NeuralNetTorch_r79_BAG_L1,0.5568627450980392,roc_auc,0.014872312545776367,1.1770780086517334,0.014872312545776367,1.1770780086517334,1,True,12
LightGBM_r188_BAG_L1,0.5509803921568628,roc_auc,0.002009868621826172,0.38777804374694824,0.002009868621826172,0.38777804374694824,1,True,22
NeuralNetTorch_BAG_L1,0.5490196078431373,roc_auc,0.015144109725952148,2.914945125579834,0.015144109725952148,2.914945125579834,1,True,9
LightGBM_r121_BAG_L1,0.5431372549019609,roc_auc,0.0020041465759277344,0.3225867748260498,0.0020041465759277344,0.3225867748260498,1,True,68
LightGBM_r196_BAG_L1,0.5431372549019607,roc_auc,0.0020139217376708984,0.32564687728881836,0.0020139217376708984,0.32564687728881836,1,True,34
LightGBM_r42_BAG_L1,0.5235294117647059,roc_auc,0.0019216537475585938,0.2655928134918213,0.0019216537475585938,0.2655928134918213,1,True,83
NeuralNetTorch_r1_BAG_L1,0.5215686274509804,roc_auc,0.014971494674682617,1.2914421558380127,0.014971494674682617,1.2914421558380127,1,True,84
NeuralNetTorch_r36_BAG_L1,0.5215686274509803,roc_auc,0.017098665237426758,1.2490088939666748,0.017098665237426758,1.2490088939666748,1,True,77
NeuralNetTorch_r41_BAG_L1,0.5176470588235295,roc_auc,0.01488184928894043,1.3227097988128662,0.01488184928894043,1.3227097988128662,1,True,37
XGBoost_r22_BAG_L1,0.5058823529411764,roc_auc,0.005323648452758789,0.17942190170288086,0.005323648452758789,0.17942190170288086,1,True,66
LightGBM_r143_BAG_L1,0.503921568627451,roc_auc,0.001985311508178711,0.2894420623779297,0.001985311508178711,0.2894420623779297,1,True,45
XGBoost_r194_BAG_L1,0.503921568627451,roc_auc,0.005918741226196289,0.22423076629638672,0.005918741226196289,0.22423076629638672,1,True,28
LightGBM_r135_BAG_L1,0.492156862745098,roc_auc,0.0017025470733642578,0.3631269931793213,0.0017025470733642578,0.3631269931793213,1,True,65
LightGBM_r94_BAG_L1,0.492156862745098,roc_auc,0.0017201900482177734,0.34938502311706543,0.0017201900482177734,0.34938502311706543,1,True,48
LightGBM_r96_BAG_L1,0.492156862745098,roc_auc,0.001983642578125,0.2527618408203125,0.001983642578125,0.2527618408203125,1,True,15
LightGBM_r130_BAG_L1,0.492156862745098,roc_auc,0.002294778823852539,0.31729602813720703,0.002294778823852539,0.31729602813720703,1,True,25
LightGBM_r15_BAG_L1,0.48235294117647065,roc_auc,0.0018036365509033203,0.3830530643463135,0.0018036365509033203,0.3830530643463135,1,True,39
LightGBMLarge_BAG_L1,0.480392156862745,roc_auc,0.0019674301147460938,0.497211217880249,0.0019674301147460938,0.497211217880249,1,True,10
LightGBMXT_BAG_L1,0.46862745098039216,roc_auc,0.0018954277038574219,2.546847105026245,0.0018954277038574219,2.546847105026245,1,True,1
LightGBM_BAG_L1,0.46862745098039216,roc_auc,0.002107381820678711,0.3820488452911377,0.002107381820678711,0.3820488452911377,1,True,2
NeuralNetTorch_r143_BAG_L1,0.4509803921568627,roc_auc,0.01631903648376465,1.3527982234954834,0.01631903648376465,1.3527982234954834,1,True,49
NeuralNetTorch_r121_BAG_L1,0.4470588235294118,roc_auc,0.014801979064941406,1.2466871738433838,0.014801979064941406,1.2466871738433838,1,True,72
LightGBM_r161_BAG_L1,0.44509803921568625,roc_auc,0.0019788742065429688,0.3207528591156006,0.0019788742065429688,0.3207528591156006,1,True,32
CatBoost_r177_BAG_L1,0.4431372549019608,roc_auc,0.0022439956665039062,0.33239173889160156,0.0022439956665039062,0.33239173889160156,1,True,11
CatBoost_r143_BAG_L1,0.4392156862745098,roc_auc,0.0017609596252441406,0.29576921463012695,0.0017609596252441406,0.29576921463012695,1,True,58
